tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,nmae_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,nmae_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.68,0.13,0.21,20.85377584141885,53.36695379679269,28.492156138343567,0.7336042506924627,35.30839741840308,12.055598130964073,36.662665690000146,24.554343540191407,0.6947854139270455,27.354217828061618,31.331307623232348,False,False,True
0.68,0.15,0.11,21.1413839806645,53.68370128739881,28.652523955396465,0.7304326027404071,35.60793795816413,12.682272357992133,36.39469619689248,24.52780864732695,0.6992307699374529,27.612559265706935,31.610248611935532,False,False,True
0.68,0.15,0.13,20.960865141277857,53.47739937136633,28.51959424870071,0.7325004711101837,35.39385714472724,12.254849503279267,36.90400182118435,24.633438497935792,0.6907539698767275,27.51340816001553,31.453632652371386,False,False,True
0.68,0.15,0.15,21.132681419002218,53.58450769539608,28.453367845052917,0.7314278640235122,35.44269128724472,12.4501624490928,36.85332413108032,24.546793171869385,0.691602718693219,27.523655281072934,31.483173284158827,False,False,True
0.68,0.15,0.17,21.002683220916005,53.50610957616401,28.56529158897323,0.7322131711328133,35.45544508310693,12.2303528682689,36.86055344117617,24.752355976952483,0.6914817136926619,27.609068395948253,31.53225673952759,False,False,True
0.68,0.15,0.19,20.631138258554692,53.19384675848914,28.39821170638378,0.735329670040723,35.10131470421289,11.971782238539316,36.70645872737291,24.448866478230794,0.694055829406351,27.222612696751995,31.161963700482442,False,False,True
0.68,0.15,0.21,20.899656719326007,53.72132798912273,28.622854805542353,0.7300545927903079,35.44098571152935,11.59507420780844,36.863844178623324,24.56566475107051,0.6914266251005712,27.164639341367533,31.30281252644844,False,False,True
0.68,0.17,0.11,21.123060190612886,53.715789812841265,28.49593048479982,0.730110247713475,35.471139339057025,12.626957256107504,36.678454766012344,24.5419587214675,0.6945224710181341,27.599778756971595,31.53545904801431,False,False,True
0.68,0.17,0.13,20.75289796284259,53.60107240587948,28.483363721560796,0.7312617896298114,35.241804476372685,12.273108656457318,36.8955207295183,24.758481670820213,0.6908960922714019,27.633523313858262,31.437663895115474,False,False,True
0.68,0.17,0.15,20.891571238974354,53.63865008084978,28.524883690462676,0.730884853254277,35.357131365363394,12.498574505864369,36.979401390820684,24.926415404620116,0.6894890210230791,27.88441409824359,31.62077273180349,False,False,True
0.68,0.17,0.17,20.607180368675685,53.51326156618031,28.380712879744014,0.7321415779356386,35.07307722897437,11.457347698121708,37.03470970116033,24.514321977703524,0.6885594937736507,27.059615634782638,31.066346431878504,False,False,True
0.68,0.17,0.19,20.873173902731818,53.645658266029706,28.480182887918286,0.7308145259067769,35.31019974600764,12.01259258564891,37.06535450387898,24.692766444096787,0.6880438703701119,27.459699475622443,31.384949610815042,False,False,True
0.68,0.17,0.21,20.93661263071743,53.873074986080674,28.56995346750289,0.7285274056851123,35.420107136822686,11.959713455212702,36.99198395411932,24.570057297089345,0.6892776769450031,27.3262229646369,31.373165050729796,False,False,True
0.68,0.19,0.11,21.08004556117839,54.09157210140343,28.681339616360578,0.7263208761740807,35.5947687596137,12.319666013130202,36.77037212065608,24.524677309497214,0.6929894800794745,27.445108267413392,31.519938513513544,False,False,True
0.68,0.19,0.13,20.960814369526247,53.6929387864263,28.51703217492332,0.7303398243830335,35.39176264470802,12.489825875997514,36.85813471148462,24.57769134909506,0.6915222013026878,27.569161439262516,31.480462041985266,False,False,True
